Docking Station Name,Docking Station ID,Docking Station Capacity,Latitude,Longitude
"Chepstow Villas, Notting Hill",151,26,51.5121,-0.201555
"Hampton Street, Walworth",152,21,51.4922,-0.101537
"Bayswater Road, Hyde Park",153,26,51.5118,-0.174293
"Waterloo Station 3, Waterloo",154,34,51.504,-0.113864
"Lexham Gardens, Kensington",155,19,51.4959,-0.191934
"New Kent Road, The Borough",156,33,51.4944,-0.0929212
"Wright's Lane, Kensington",157,37,51.5004,-0.193068
"Trebovir Road, Earl's Court",158,18,51.4909,-0.19617
"Great Marlborough Street, Soho",159,39,51.5146,-0.137841
"Waterloo Place, St. James's",160,20,51.5066,-0.131774
"Guildhouse Street, Victoria",161,16,51.4923,-0.141334
"Southampton Place, Holborn",162,20,51.5176,-0.121328
"Sloane Avenue, Knightsbridge",163,30,51.4932,-0.167895
"Cleveland Gardens, Bayswater",164,16,51.5156,-0.183119
"Orsett Terrace, Bayswater",165,15,51.5179,-0.183717
"Seville Street, Knightsbridge",166,27,51.5019,-0.159237
"Eccleston Place, Victoria",167,19,51.494,-0.147624
"Argyll Road, Kensington",168,19,51.5004,-0.195456
"Porchester Place, Paddington",169,18,51.5147,-0.165164
"Hardwick Street, Clerkenwell",170,30,51.5278,-0.108068
"Collingham Gardens, Earl's Court",171,14,51.4916,-0.186754
"Sumner Place, South Kensington",172,19,51.4912,-0.173716
"Waterloo Road, South Bank",173,15,51.5049,-0.113001
"Strand, Strand",174,36,51.5125,-0.115163
"Worship Street, Shoreditch",175,26,51.5217,-0.0811189
"Gloucester Terrace, Bayswater",176,23,51.5179,-0.188099
"Ashley Place, Victoria",177,25,51.4962,-0.140948
"Warwick Square, Pimlico",178,19,51.4899,-0.141924
"North Audley Street, Mayfair",180,17,51.5129,-0.153645
"Belgrave Square, Belgravia",181,21,51.4994,-0.152318
"Bell Street , Marylebone",182,18,51.522,-0.165843
"Riverlight North, Nine Elms",183,24,51.4824,-0.136124
"Portland Place, Marylebone",184,34,51.5207,-0.145212
"Alderney Street, Pimlico",185,14,51.4881,-0.140741
"South Wharf Road, Paddington",186,16,51.5173,-0.175811
"Queen's Gate (South), South Kensington",187,25,51.4925,-0.178433
"Nutford Place, Marylebone",188,18,51.5165,-0.164394
"Claremont Square, Angel",189,18,51.5317,-0.109915
"Rampayne Street, Pimlico",190,21,51.49,-0.132846
"Hyde Park Corner, Hyde Park",191,36,51.5031,-0.153521
"Wardour Street, Soho",192,16,51.5125,-0.133202
"Bankside Mix, Bankside",193,60,51.5058,-0.100186
"Hop Exchange, The Borough",194,56,51.5046,-0.0917738
"Milroy Walk, South Bank",195,30,51.5072,-0.106238
"Union Street, The Borough",196,17,51.5037,-0.0984977
"Stamford Street, South Bank",197,27,51.5056,-0.111607
"Great Tower Street, Monument",199,24,51.5105,-0.0829896
"LMU Commercial Road, Whitechapel",200,14,51.5149,-0.066078
"Dorset Square, Marylebone",201,16,51.5226,-0.161113
"Leman Street, Aldgate",202,37,51.5124,-0.069542
"West Smithfield Rotunda, Farringdon",203,15,51.5182,-0.100791
"Margery Street, Clerkenwell",204,19,51.5266,-0.112433
"New Road 1 , Whitechapel",206,36,51.5181,-0.06275
"Grosvenor Crescent, Belgravia",207,18,51.5014,-0.153195
"Mallory Street, Marylebone",208,20,51.5251,-0.166304
"Denyer Street, Knightsbridge",209,30,51.4936,-0.165101
"Hinde Street, Marylebone",210,21,51.5168,-0.151926
"Cadogan Place, Knightsbridge",211,34,51.4946,-0.158106
"Campden Hill Road, Notting Hill",212,17,51.5066,-0.199004
"Wellington Arch, Hyde Park",213,36,51.5027,-0.149569
"Endsleigh Gardens, Euston",214,32,51.5268,-0.130504
"Moorfields, Moorgate",215,54,51.5191,-0.0882854
"Old Brompton Road, South Kensington",216,30,51.4909,-0.181191
"Wormwood Street, Liverpool Street",217,16,51.5162,-0.0824224
"St. Luke's Church, Chelsea",218,20,51.4897,-0.170194
"Bramham Gardens, Earl's Court",219,29,51.4902,-0.190394
"Chelsea Green, Chelsea",220,27,51.4907,-0.166485
"Horseferry Road, Westminster",221,16,51.4948,-0.130459
"Knightsbridge, Hyde Park",222,43,51.5028,-0.15535
"Rodney Road , Walworth",223,24,51.4915,-0.0902209
"Queensway, Kensington Gardens",224,21,51.51031,-0.1874024
"Notting Hill Gate Station, Notting Hill",225,30,51.5094,-0.196422
"Charles II Street, West End",226,24,51.5084,-0.131961
"Great Percy Street, Clerkenwell",227,23,51.5289,-0.115481
"St. James's Square, St. James's",228,40,51.5074,-0.134621
"Whitehall Place, Strand",229,24,51.5065,-0.12318
"Poured Lines, Bankside",230,31,51.5067,-0.103137
"Queen's Gate (Central), South Kensington",231,31,51.494,-0.178732
"Carey Street, Holborn",232,16,51.515,-0.112753
"Pall Mall East, West End",233,22,51.5078,-0.1307
"Liverpool Road (N1 Centre), Angel",234,24,51.5345,-0.106993
"Kennington Road  , Vauxhall",235,36,51.4957,-0.110889
"Fashion Street, Whitechapel",236,30,51.5184,-0.0734389
"Dock Street, Wapping",237,30,51.5084,-0.0671764
"Frampton Street, Paddington",238,32,51.5234,-0.175116
"Warren Street Station, Euston",239,26,51.5244,-0.138019
"Colombo Street, Southwark",240,14,51.5055,-0.105692
"Beaumont Street, Marylebone",242,23,51.522,-0.151359
"Gloucester Street, Pimlico",243,25,51.491,-0.139625
"Earnshaw Street , Covent Garden",244,18,51.5161,-0.128585
"Grosvenor Road, Pimlico",245,29,51.4854,-0.142207
"Berry Street, Clerkenwell",246,41,51.5229,-0.0999941
"St. John's Wood Church, The Regent's Park",247,50,51.5301,-0.168314
"Triangle Car Park, Hyde Park",248,27,51.5065,-0.17028
"Harper Road, The Borough",249,42,51.4986,-0.0961911
